Processing activity,Purpose,Categories of data subjects,Categories of personal data,Recipients / processors,Embedded / external APIs (client vs server),Third-country transfer (outside EU/EEA),Transfer safeguards (confirm with counsel),Retention (confirm operationally),Security measures (technical summary),Codebase evidence / notes
Realtime tip notifications,Live UX for staff when tips arrive,"Employees, managers (connected clients)",Tip event payloads (amounts/ids — limited fields via Socket.io),Self-hosted Socket.io on API origin,Client: socket.io-client → same origin as VITE_API_URL,Usually same region as API host — confirm deployment,—,Ephemeral events,JWT in socket handshake; room by businessId,socketServer.ts; useSocket.ts
Dashboard & platform analytics,Operational BI (first-party only),"Managers, employees, platform admins",Aggregated tip statistics; audit log actions/metadata,Internal PostgreSQL only,No third-party analytics SDK (no GA/Meta/Sentry in dependencies),None via analytics vendors,N/A,Audit logs — retention not in code,Auth required; SUPER_ADMIN for platform,platformAnalytics.service.ts; audit.service.ts
Transactional email (all types),Verification welcome reset activation login alerts,Users,"Email, locale, names in templates; tokens in links; login alert may include IP and User-Agent",Resend,Server: POST api.resend.com,Likely yes,Resend DPA + SCCs,Not in code,RESEND_API_KEY server-only; email rate limit,resendClient.ts; *Email*.ts services
Login alert email (opt-in),Security awareness on new login,Users with notify_new_login enabled,"Email, IP, User-Agent",Resend,Server: api.resend.com,Likely yes,Resend DPA,Not in code,User preference flag in settings,localizedNotificationEmail.service.ts
Platform administration,Operate and support the service,All users (data accessed by admins),"Global transactions, impersonation context, audit logs",Internal only,First-party API; impersonation JWT,Same as API/DB region,—,Not in code,SUPER_ADMIN checks; audit_logs table,platform.routes.ts; platform.service.ts
CSV transaction export,Reconciliation / portability,Managers (authenticated),Transaction rows for their business,None (file downloaded to user device),First-party export endpoint,Transfer to user device jurisdiction unknown,Inform users in privacy notice,User-controlled after download,Authenticated export route,transactions.controller.ts
Account deletion (employee),Support erasure requests,Employees,User and employee records,CareTip DB only,DELETE /api/employees/me,Same as DB region,—,Deletion logic in code — schedules not documented,deleteMyAccount handler,employee.routes.ts
Business deletion,Cascade remove venue and staff,Managers,Business and linked user data,CareTip DB,Internal service,Same as DB region,—,Not in code,Cascading delete,business.service.ts
PWA & browser local storage,UX session repeat tips theme language,All site visitors,"JWT in localStorage; user profile JSON; repeat-tip session; i18n; theme; sidebar cookie",None (device-local); static host may cache assets,"Client: localStorage/sessionStorage; optional Workbox cache (fonts.googleapis.com rule exists but fonts self-hosted)",No processor transfer for localStorage; static CDN host region confirm if Vercel etc.,ePrivacy / storage transparency,Until user clears storage,HttpOnly refresh separate from localStorage; user can clear,repeatTip.ts; authUserStore.ts; vite.config.ts PWA
Repeat tip (guest),Faster repeat tipping for returning guests,Guests,employeeId amount sessionId in localStorage,None (browser only),Client-only — not sent to server per audit,No server transfer documented,—,Client-side only,User can clear localStorage,repeatTip.ts
Cookies (refresh session),Maintain logged-in session,Logged-in users,Opaque refresh token (HttpOnly),First-party CareTip API,Set by API Set-Cookie,No third party for cookie itself,—,REFRESH_TOKEN_EXPIRES_DAYS default 7,httpOnly secure sameSite rotation,refreshToken.service.ts
2FA (TOTP optional),Stronger account security,Users opting in,TOTP secret on User record,CareTip DB only,Library speakeasy — no cloud,Same as DB,—,Account lifetime,Optional per user,auth.controller.ts 2fa routes
Stripe webhooks,Sync payment state,Guests and payees (indirect),PaymentIntent/session ids event types,Stripe → CareTip API,Server inbound webhook to API,Likely yes,Stripe webhook signing secret,Not in code,Raw body signature verify,stripe.webhook.ts
Embedded APIs — summary reference,Inventory for ROPA / privacy notice,N/A,N/A,See rows above,"Client embeds: Google GSI; Socket.io; Stripe redirect; optional Spline prod.spline.design; optional GCS marketing video. Server APIs: api.stripe.com api.resend.com *.supabase.co oauth2.googleapis.com",Multiple vendors US-headquartered — EU-only not enforced in code,Document SCCs per vendor DPA; confirm Supabase REGION in dashboard,—,See GDPR_ROPA_TECHNICAL_AUDIT.md Appendix B,GDPR_ROPA_TECHNICAL_AUDIT.md
Third-party processors NOT in production code,—,—,—,—,—,—,—,—,—,"No GA/GTM Meta Hotjar Mixpanel Sentry; no SMS; no push provider wired (DB flag only); no OpenAI"
Hosting (confirm operationally),Run application,All data subjects,All categories above,"Supabase, Vercel/Netlify (frontend), Render/Railway/Fly/Heroku (API) — env-dependent",Not verifiable from codebase alone,Depends on selected regions in each vendor dashboard,DPAs with each host,—,TLS assumed production; trust proxy in prod,README vercel.json resolvePublicApiBaseUrl
